path,folder,type,what_it_shows,colour_words,brand_legible,composition,styled_how,open_note,hex1,share1,hex2,share2,hex3,share3,hex4,share4,hex5,share5,nearest_soft_autumn_anchor,anchor_delta_e,palette_confidence,confidence_reason,skin_share,subject_share,shortlist,suggested_name,width,height,bytes,format,opened
content/swipe/products/IMG_0369.png,content/swipe/products,product,"listing, felted wool sweatshirt and bag",deep brown,,,,,1E1918,0.496,353333,0.276,574E4B,0.102,807B78,0.065,CDCAC7,0.061,warm charcoal,9.4,low,little left after background removal; top cluster 50% — may still be a studio backdrop,0.043,0.22,no,bag_deep_brown_felted_wool_sweatshirt,1908,2746,1202171,PNG,contact_sheet
content/swipe/products/IMG_0370.png,content/swipe/products,product,fitted high-neck jersey top with scarf tie,brown,LEMAIRE (lemaire.fr),,second-skin fit tucked under a dark brown full skirt,the neck tie is cut as one with the top,211C1A,0.306,363333,0.232,3F2F27,0.225,604A41,0.2,9A908B,0.038,warm charcoal,8.3,medium,background dominates frame,0.079,0.342,yes,bottom_brown_lemaire_sheer_mesh_top,1908,2746,1912878,PNG,opened_reduced
content/swipe/products/IMG_0371.png,content/swipe/products,product,"full-length look, jersey top and skirt",brown,LEMAIRE,,,,1F1C1C,0.322,373638,0.266,48362E,0.225,706059,0.109,CCCCCA,0.078,warm charcoal,8.6,low,little left after background removal,0.05,0.196,no,bottom_brown_lemaire_full-length_jersey_top,1908,2746,970535,PNG,contact_sheet
content/swipe/products/IMG_0372.png,content/swipe/products,product,scarf-neck jersey top with open sheer back,brown,LEMAIRE (lemaire.fr),,"back view, worn with a dark brown zipped skirt",the back is a single sheer panel; the same piece front-on looks plain,332A26,0.338,4B372C,0.264,1A1616,0.254,66544D,0.129,,,warm charcoal,4.8,high,,0.05,0.524,yes,top_brown_lemaire_sheer_mesh_jersey,1908,2746,3487674,PNG,opened_reduced
content/swipe/products/IMG_0373.png,content/swipe/products,product,sheer mesh scarf-neck long-sleeve top,brown taupe,LEMAIRE (lemaire.fr),,"flat shot, not styled",flat shot shows the construction the model shot hides,6E5749,0.542,5B483C,0.198,35383A,0.129,A89E9C,0.086,33251D,0.045,chocolate,11.3,low,little left after background removal; top cluster 54% — may still be a studio backdrop,0.129,0.231,yes,shoes_taupe_brown_lemaire_foulard_top_mesh,1908,2746,1944857,PNG,opened_reduced
content/swipe/products/IMG_0374.png,content/swipe/products,product,"product page, foulard mesh jersey top",taupe brown,,,,,695345,0.488,222021,0.21,3A3736,0.12,616265,0.112,B3AAA9,0.071,chocolate,9.8,medium,background dominates frame; top cluster 49% — may still be a studio backdrop,0.095,0.326,no,top_taupe_brown_foulard_mesh_jersey,1908,2746,1937939,PNG,contact_sheet
content/swipe/products/IMG_0375.png,content/swipe/products,product,buttoned cashmere sweater with trousers,dark grey,LEMAIRE,,,,1C1816,0.56,32302F,0.252,504A47,0.106,777370,0.051,BDBCB5,0.032,warm charcoal,9.5,medium,background dominates frame; top cluster 56% — may still be a studio backdrop,0.002,0.399,no,bottom_dark_grey_lemaire_buttoned_cashmere_sweater,1908,2746,2202587,PNG,contact_sheet
content/swipe/products/IMG_0376.png,content/swipe/products,product,reversible buttoned cashmere sweater on model,dark grey,LEMAIRE,,,,221B18,0.541,363738,0.254,462F24,0.084,696563,0.071,B4B2AF,0.048,warm charcoal,8.7,low,little left after background removal; top cluster 54% — may still be a studio backdrop,0.005,0.248,no,top_dark_grey_lemaire_reversible_buttoned_cashmere,1908,2746,1101165,PNG,contact_sheet
content/swipe/products/IMG_0377.png,content/swipe/products,product,"buttoned cashmere cardigan, flat shot",grey,LEMAIRE,,,,4B4B4E,0.402,3A3A3D,0.295,606165,0.136,212225,0.131,A4A3A7,0.036,warm charcoal,8.3,medium,background dominates frame,0.0,0.43,no,layer_grey_lemaire_buttoned_cashmere_cardigan,1908,2746,3119755,PNG,contact_sheet
content/swipe/products/IMG_0378.png,content/swipe/products,product,"crew-neck knit cardigan, curved off-centre placket",camel beige,LEMAIRE (lemaire.fr),,"buttoned over a cream high-neck, with olive-brown wide trousers","the placket curves away from centre front, so it never hangs straight",312B25,0.251,977F55,0.23,E0CCA7,0.193,BCA376,0.186,64533D,0.14,warm charcoal,3.8,medium,background dominates frame,0.053,0.378,yes,layer_pale_khaki_yellow_lemaire_buttoned_cardigan_trousers,1908,2746,3231467,PNG,opened_reduced
content/swipe/products/IMG_0379.png,content/swipe/products,product,"buttoned cardigan, flat shot",pale khaki yellow,LEMAIRE,,,,BDA574,0.637,A78E62,0.193,363839,0.088,765D3B,0.046,B3ADA7,0.036,camel,3.7,medium,background dominates frame; top cluster 64% — may still be a studio backdrop,0.0,0.362,no,layer_pale_khaki_yellow_lemaire_buttoned_cardigan,1908,2746,3184114,PNG,contact_sheet
content/swipe/products/IMG_0380.png,content/swipe/products,product,"listing, leather hobo bag and belt",deep brown,,,,,211E1F,0.378,3B393A,0.256,6A6868,0.205,C4C0BD,0.085,4A3B2C,0.076,warm charcoal,8.3,low,little left after background removal,0.016,0.221,no,bag_deep_brown_leather_hobo_bag,1908,2746,995962,PNG,contact_sheet
content/swipe/products/IMG_0381.png,content/swipe/products,product,"listing, duffle coat, trousers, bag",brown,,,,,D2CDC2,0.268,3A393B,0.247,241D1A,0.238,48382A,0.127,857A70,0.121,stone,1.5,low,little left after background removal,0.021,0.182,no,layer_brown_duffle_coat_trousers,1908,2746,964368,PNG,contact_sheet
content/swipe/products/IMG_0382.png,content/swipe/products,product,"listing, crescent bag and loafers",brown,,,,,383636,0.288,241B18,0.283,D5D2CC,0.245,61534D,0.114,948F8D,0.07,warm charcoal,2.7,low,little left after background removal,0.054,0.154,no,bag_brown_crescent_bag_loafers,1908,2746,953916,PNG,contact_sheet
content/swipe/products/IMG_0383.png,content/swipe/products,product,"listing, collared blouson and trousers",brown,,,,,211A18,0.476,383433,0.249,D4D4D3,0.133,5E4F49,0.091,938E8C,0.05,warm charcoal,9.1,low,little left after background removal; top cluster 48% — may still be a studio backdrop,0.033,0.224,no,layer_brown_collared_blouson_trousers,1908,2746,1237530,PNG,contact_sheet
content/swipe/products/IMG_0384.png,content/swipe/products,product,"pilot blouson in shiny cow leather, shearling collar",black dark brown,LEMAIRE (lemaire.fr),,"worn over brown trousers, cropped and blouson at the hem","caption reads ""PILOT BLOUSON IN SHINY COW LEATHER""",171412,0.343,2C2826,0.255,454545,0.187,ADA29B,0.149,5A3A2B,0.065,warm charcoal,10.8,medium,background dominates frame,0.064,0.383,yes,layer_black_and_brown_lemaire_leather_blouson_shearling,1908,2746,2875082,PNG,opened_reduced
content/swipe/products/IMG_0385.png,content/swipe/products,product,"leather blouson, back view on model",black and brown,LEMAIRE,,,,1E1917,0.545,353433,0.241,4D3122,0.111,656260,0.066,B6A08F,0.037,warm charcoal,9.2,medium,top cluster 55% — may still be a studio backdrop,0.006,0.461,no,layer_black_and_brown_lemaire_leather_blouson,1908,2746,3251622,PNG,contact_sheet
content/swipe/products/IMG_0386.png,content/swipe/products,product,"leather blouson with shearling collar, flat",black and brown,LEMAIRE,,,,1D1817,0.364,343130,0.332,524F4F,0.163,7B7A7B,0.109,B0B0B2,0.032,warm charcoal,9.7,medium,background dominates frame,0.001,0.391,no,layer_black_and_brown_lemaire_leather_blouson_shearling,1908,2746,3168113,PNG,contact_sheet
content/swipe/products/IMG_0387.png,content/swipe/products,product,belted coat with tall funnel collar,black,LEMAIRE (lemaire.fr),,belted over black tights with printed knee boots and an olive fur bag,severe black coat against a scenic-print boot,1B1C1E,0.491,383737,0.33,797166,0.069,BBBAB9,0.066,C8BAA1,0.044,warm charcoal,9.6,low,little left after background removal; top cluster 49% — may still be a studio backdrop,0.016,0.212,yes,layer_black_lemaire_long_coat_bag,1908,2746,1412602,PNG,opened_reduced
content/swipe/products/IMG_0388.png,content/swipe/products,product,belted wrap coat in felted wool on model,black,LEMAIRE,,,,373739,0.478,0E0F0F,0.228,6D6E67,0.115,D3D0C8,0.096,9C9C94,0.084,warm charcoal,4.2,low,little left after background removal; top cluster 48% — may still be a studio backdrop,0.006,0.098,no,layer_black_lemaire_belted_wrap_coat,1908,2746,1653360,PNG,contact_sheet
content/swipe/products/IMG_0389.png,content/swipe/products,product,"belted wrap coat, flat shot",black,LEMAIRE,,,,0D0D10,0.307,36383B,0.237,5E6266,0.232,CCCDD0,0.115,898A8D,0.108,warm charcoal,13.1,low,little left after background removal,0.0,0.126,no,layer_black_lemaire_belted_wrap_coat,1908,2746,2440862,PNG,contact_sheet
content/swipe/products/IMG_0390.png,content/swipe/products,product,"listing, bag, ankle boot, coats",black,,,,,343435,0.428,1B1A1A,0.213,D3D4D3,0.189,635F5E,0.1,9C9692,0.069,warm charcoal,3.8,low,little left after background removal,0.015,0.169,no,shoes_black_bag_ankle_boot,1908,2746,877870,PNG,contact_sheet
content/swipe/products/IMG_0391.png,content/swipe/products,product,model in roll-neck knit and wide trousers,dark grey,LEMAIRE,,,,1D1E20,0.513,373839,0.427,A5A6A5,0.043,,,,,warm charcoal,9.1,low,little left after background removal; top cluster 51% — may still be a studio backdrop,0.02,0.245,no,bottom_dark_grey_lemaire_roll-neck_knit_wide,1908,2746,1511979,PNG,contact_sheet
content/swipe/products/IMG_0392.png,content/swipe/products,product,high-neck sweater in yak alpaca on model,charcoal,,,,,383838,0.614,5E6063,0.219,100F10,0.064,ADABAA,0.056,744F36,0.047,warm charcoal,3.2,low,little left after background removal; top cluster 61% — may still be a studio backdrop,0.019,0.193,no,top_charcoal_high-neck_sweater_yak,1908,2746,3309520,PNG,contact_sheet
content/swipe/products/IMG_0393.png,content/swipe/products,product,"high-neck sweater, flat shot",charcoal,LEMAIRE,,,,333436,0.567,616569,0.171,424244,0.131,B8B9BB,0.094,0A0A0D,0.037,warm charcoal,4.5,low,little left after background removal; top cluster 57% — may still be a studio backdrop,0.0,0.167,no,shoes_charcoal_lemaire_high-neck_sweater,1908,2746,3126235,PNG,contact_sheet
content/swipe/products/IMG_0394.png,content/swipe/products,product,chunky marled roll-neck sweater,brown black marl,LEMAIRE (lemaire.fr),,"flat shot, not styled",two-tone marl reads as a texture rather than a colour,4C3E32,0.371,2D241F,0.267,705B49,0.235,36383A,0.087,A5A4A5,0.041,chocolate,3.3,medium,background dominates frame,0.007,0.363,yes,shoes_brown_lemaire_marled_roll-neck_sweater,1908,2746,4180361,PNG,opened_reduced
content/swipe/products/IMG_0395.png,content/swipe/products,product,"listing grid: shirt, trousers, croissant bag, silver ring",black silver,LEMAIRE (lemaire.fr),,"flat product shots, no styling","titles name materials (dry silk, cotton twill blend, nappa) in the product name itself",1F1E20,0.346,37383A,0.221,616366,0.193,D3D1CF,0.166,A19A96,0.073,warm charcoal,8.7,low,little left after background removal,0.031,0.178,yes,bag_black_and_silver_lemaire_crescent_bag_rounded,1908,2746,661543,PNG,opened_reduced
content/swipe/products/IMG_0396.png,content/swipe/products,product,"listing, shoulder bag and ankle boots",burgundy and brown,,,,,201E1F,0.365,373535,0.282,616366,0.203,D1D1D1,0.079,A09B94,0.072,warm charcoal,8.3,low,little left after background removal,0.001,0.177,no,shoes_burgundy_and_brown_shoulder_bag_ankle,1908,2746,697119,PNG,contact_sheet
content/swipe/products/IMG_0397.png,content/swipe/products,product,"listing, knit, coat, bag, heeled sandal",camel and red,,,,,362E2C,0.38,D4CAC1,0.204,BB9F7F,0.178,72332F,0.134,7C6961,0.104,warm charcoal,3.9,low,little left after background removal,0.057,0.162,no,layer_camel_and_red_knit_coat_bag,1908,2746,1102824,PNG,contact_sheet
content/swipe/products/IMG_0398.png,content/swipe/products,product,"collection landing page, printed dress and bag",olive and brown,LEMAIRE,,,,3D361B,0.251,333435,0.233,D7D6D3,0.212,B0A396,0.157,7B7164,0.147,chocolate,10.2,low,little left after background removal,0.046,0.152,no,dress_olive_and_brown_lemaire_landing_printed_dress,1908,2746,1096843,PNG,contact_sheet
content/swipe/products/IMG_0399.png,content/swipe/products,product,"listing, crescent bag and leather jacket",black and olive,,,,,101011,0.331,302F32,0.317,514E4F,0.15,CECECD,0.139,8C8989,0.064,warm charcoal,12.3,low,little left after background removal,0.027,0.195,no,layer_black_and_olive_crescent_bag_leather,1908,2746,1061451,PNG,contact_sheet
content/swipe/products/IMG_0400.png,content/swipe/products,product,"oversized chunky roll-neck sweater, deep folded collar",brown black marl,LEMAIRE (lemaire.fr),,"close crop on collar and shoulder, collar folded down over neck",collar depth is the whole point of the shot,191512,0.391,3A3129,0.336,685749,0.124,C3A48C,0.081,7D4D2D,0.069,warm charcoal,10.4,medium,background dominates frame,0.117,0.404,yes,top_brown_marled_roll-neck_profile,1908,2746,4201676,PNG,opened_reduced
content/swipe/products/IMG_0401.png,content/swipe/products,product,folded snood in yak alpaca,brown,,,,,403830,0.349,2A2521,0.277,675442,0.196,1C1816,0.114,BAB9B7,0.064,warm charcoal,3.0,medium,background dominates frame,0.0,0.298,no,accessory_brown_folded_snood_yak,1908,2746,2546845,PNG,contact_sheet
content/swipe/products/IMG_0402.png,content/swipe/products,product,silk shirt over roll-neck on model,pale pink,,,,,222224,0.256,433A36,0.242,C7B6B0,0.233,6B6260,0.209,251D19,0.059,warm charcoal,7.8,low,background dominates frame; skin band 36% — overlaps dusty rose / salmon,0.36,0.261,no,top_pale_pink_silk_shirt_roll-neck,1908,2746,2205494,PNG,contact_sheet
content/swipe/products/IMG_0403.png,content/swipe/products,product,"silk shirt, flat shot",pale pink,LEMAIRE,,,,E0C5BF,0.672,282A2C,0.161,B99C97,0.079,5E6266,0.07,,,stone,9.7,low,background dominates frame; skin band 73% — overlaps dusty rose / salmon; skin not masked; top cluster 67% — may still be a studio backdrop,0.727,0.412,no,shoes_pale_pink_lemaire_silk_shirt,1908,2746,1708195,PNG,contact_sheet
content/swipe/products/IMG_0404.png,content/swipe/products,product,"silk shirt, flat shot",tan,,,,,B4906C,0.75,333233,0.095,C7A886,0.081,725542,0.047,,,camel,5.2,medium,background dominates frame; top cluster 75% — may still be a studio backdrop,0.022,0.381,no,shoes_tan_silk_shirt,1908,2746,2600240,PNG,contact_sheet
content/swipe/products/IMG_0405.png,content/swipe/products,product,knee-high leather boots,olive brown,,,,,2D2B2A,0.338,544738,0.334,8A7861,0.241,C0BEBD,0.051,5B5A59,0.036,warm charcoal,4.1,low,little left after background removal,0.0,0.21,no,shoes_olive_brown_knee-high_leather_boots,1908,2746,1229318,PNG,contact_sheet
content/swipe/products/IMG_0406.png,content/swipe/products,product,"knee-high leather boots, pair",olive brown,,,,,211C19,0.281,7D6C57,0.268,4A3D2E,0.247,37393B,0.154,C2C0BC,0.05,warm charcoal,8.2,low,little left after background removal,0.0,0.215,no,shoes_olive_brown_knee-high_leather_boots,1908,2746,1200294,PNG,contact_sheet
content/swipe/products/IMG_0407.png,content/swipe/products,product,short-sleeve merino sweater on model,beige,,,,,463933,0.274,846E59,0.233,AB9680,0.218,221D1A,0.179,D4C2AE,0.096,chocolate,4.9,medium,background dominates frame,0.041,0.359,no,top_beige_short-sleeve_merino_sweater,1908,2746,2785960,PNG,contact_sheet
content/swipe/products/IMG_0408.png,content/swipe/products,product,short-sleeve knit with leather trousers,beige and grey,,,,,2F2D2C,0.429,544C47,0.207,A79178,0.165,D6D2CB,0.135,8A8784,0.064,warm charcoal,3.6,low,little left after background removal,0.022,0.222,no,bottom_beige_and_grey_short-sleeve_knit_leather,1908,2746,1402208,PNG,contact_sheet
content/swipe/products/IMG_0409.png,content/swipe/products,product,"short-sleeve merino sweater, flat",beige,,,,,BEA68E,0.741,A28B74,0.125,3A3B3C,0.074,A5A3A3,0.036,,,warm taupe,6.0,medium,top cluster 74% — may still be a studio backdrop,0.008,0.456,no,shoes_beige_short-sleeve_merino_sweater,1908,2746,4150152,PNG,contact_sheet
content/swipe/products/IMG_0410.png,content/swipe/products,product,"short-sleeve merino sweater, flat",dark brown,LEMAIRE,,,,5F6266,0.36,483E3D,0.28,C1C2C4,0.158,191415,0.142,939293,0.059,petrol,13.9,low,little left after background removal,0.0,0.079,no,shoes_dark_brown_lemaire_short-sleeve_merino_sweater,1908,2746,3744655,PNG,contact_sheet
content/swipe/products/IMG_0411.png,content/swipe/products,product,"listing, slip-on shoe, wallet, trousers",black and brown,,,,,393A3A,0.315,D5D6D5,0.227,201D1B,0.2,8C8580,0.132,523A32,0.126,warm charcoal,3.8,low,little left after background removal,0.006,0.145,no,bottom_black_and_brown_slip-on_shoe_wallet,1908,2746,668810,PNG,contact_sheet
content/swipe/products/IMG_0412.png,content/swipe/products,product,"listing, hooded coat, slingback heel, pendant",black and red brown,,,,,171716,0.403,38393B,0.28,D5D5D2,0.186,8A8584,0.074,623B37,0.057,warm charcoal,10.4,low,little left after background removal,0.043,0.191,no,layer_black_and_red_brown_hooded_coat_slingback,1908,2746,999092,PNG,contact_sheet
content/swipe/products/IMG_0413.png,content/swipe/products,product,"listing, dresses, scarf, trousers",blue and navy,MARGARET HOWELL,,,,222328,0.493,5D6471,0.222,1A3A5E,0.154,D0D0D1,0.076,A3A2A6,0.056,warm charcoal,8.7,low,little left after background removal; top cluster 49% — may still be a studio backdrop,0.032,0.242,no,bottom_blue_and_navy_margaret_howell_dresses_scarf_trousers,1908,2746,1428844,PNG,contact_sheet
content/swipe/products/IMG_0414.png,content/swipe/products,product,crew-neck jumper with skirt on model,pale blue,,,,,28292C,0.319,566B87,0.293,636468,0.191,183252,0.099,B7B7BA,0.097,warm charcoal,6.6,low,little left after background removal,0.011,0.224,no,bottom_pale_blue_crew-neck_jumper_skirt,1908,2746,1234982,PNG,contact_sheet
content/swipe/products/IMG_0415.png,content/swipe/products,product,crew-neck jumper with skirt on model,olive green,,,,,292A2B,0.34,5C5848,0.277,636569,0.188,998469,0.1,B8B7B8,0.095,warm charcoal,5.7,low,little left after background removal,0.012,0.227,no,bottom_olive_green_crew-neck_jumper_skirt,1908,2746,1174158,PNG,contact_sheet
content/swipe/products/IMG_0416.png,content/swipe/products,product,double-breasted wool coat on model,navy,MARGARET HOWELL,,,,232328,0.634,626266,0.21,BAB9BB,0.069,D5D4D5,0.065,,,warm charcoal,8.6,low,little left after background removal; top cluster 63% — may still be a studio backdrop,0.002,0.214,no,layer_navy_margaret_howell_double-breasted_wool_coat,1908,2746,749351,PNG,contact_sheet
content/swipe/products/IMG_0417.png,content/swipe/products,product,"wool melton reefer coat, flat",black,,,,,212025,0.453,35373A,0.192,121214,0.144,B8B8B9,0.11,6D6C6F,0.1,warm charcoal,9.3,low,little left after background removal; top cluster 45% — may still be a studio backdrop,0.0,0.179,no,layer_black_wool_melton_reefer,1908,2746,793833,PNG,contact_sheet
content/swipe/products/IMG_0418.png,content/swipe/products,product,reefer coat on model with knit hat,olive brown,MARGARET HOWELL,,,,1E1E21,0.314,666669,0.224,40362D,0.17,C4C3C3,0.148,343739,0.144,warm charcoal,9.2,low,little left after background removal,0.009,0.213,no,layer_olive_brown_margaret_howell_reefer_coat_knit,1908,2746,922314,PNG,contact_sheet
content/swipe/products/IMG_0419.png,content/swipe/products,product,"wool melton reefer coat, flat",olive green,,,,,484036,0.498,343332,0.191,B8B7B7,0.11,191716,0.101,6D6B6B,0.099,warm charcoal,4.9,low,little left after background removal; top cluster 50% — may still be a studio backdrop,0.0,0.216,no,layer_olive_green_wool_melton_reefer,1908,2746,1485050,PNG,contact_sheet
content/swipe/products/IMG_0420.png,content/swipe/products,product,ribbed wool scarf,navy black,MARGARET HOWELL,,,,12171E,0.415,1D2127,0.291,64676B,0.139,36393B,0.099,B7B7B8,0.056,warm charcoal,13.0,medium,background dominates frame,0.0,0.306,no,accessory_navy_black_margaret_howell_ribbed_wool_scarf,1908,2746,1755110,PNG,contact_sheet
content/swipe/products/IMG_0421.png,content/swipe/products,product,ribbed wool scarf,dark brown,MARGARET HOWELL,,,,433B3A,0.321,362C29,0.307,201F21,0.173,65666A,0.141,B7B5B6,0.059,warm charcoal,4.0,medium,background dominates frame,0.0,0.313,no,accessory_dark_brown_margaret_howell_ribbed_wool_scarf,1908,2746,1885735,PNG,contact_sheet
content/swipe/products/IMG_0422.png,content/swipe/products,product,ribbed wool scarf,oatmeal cream,MARGARET HOWELL,,,,C1B3AD,0.384,A5968F,0.244,646568,0.147,202124,0.132,35383A,0.094,stone,8.1,medium,background dominates frame,0.041,0.3,no,accessory_oatmeal_cream_margaret_howell_ribbed_wool_scarf,1908,2746,1870246,PNG,contact_sheet
content/swipe/products/IMG_0423.png,content/swipe/products,product,jumper with long skirt on model,brown,MARGARET HOWELL,,,,262627,0.313,42322C,0.299,656669,0.181,C3C2C2,0.108,5F493E,0.099,warm charcoal,6.4,medium,background dominates frame,0.011,0.263,no,bottom_brown_margaret_howell_jumper_long_skirt,1908,2746,1394205,PNG,contact_sheet
content/swipe/products/IMG_0424.png,content/swipe/products,product,"donegal crew-neck jumper, flat",olive brown,,,,,52463F,0.417,373737,0.23,B7B5B6,0.134,6E6C6D,0.115,2D1E1C,0.104,chocolate,6.6,low,little left after background removal,0.006,0.161,no,shoes_olive_brown_donegal_crew-neck_jumper,1908,2746,1158014,PNG,contact_sheet
content/swipe/products/IMG_0425.png,content/swipe/products,product,jumper with checked skirt on model,oatmeal,MARGARET HOWELL,,,,B3ACA5,0.306,696868,0.237,202023,0.221,3A3A3C,0.181,634537,0.054,stone,9.1,low,little left after background removal,0.011,0.237,no,bottom_oatmeal_margaret_howell_jumper_checked_skirt,1908,2746,1420717,PNG,contact_sheet
content/swipe/products/IMG_0426.png,content/swipe/products,product,"donegal crew-neck jumper, flat",cream,,,,,BDB7B1,0.335,A49C95,0.244,38393A,0.229,696463,0.143,242021,0.05,stone,6.4,low,little left after background removal,0.005,0.158,no,shoes_cream_donegal_crew-neck_jumper,1908,2746,1213863,PNG,contact_sheet
content/swipe/products/IMG_0427.png,content/swipe/products,product,oversized chunky V-neck jumper,navy,MARGARET HOWELL (margarethowell.co.uk),,"over pale blue shirt with collar out, navy pleated skirt, thin black belt",copy says heavyweight cashmere wool blend; belt worn over the jumper hem,191A22,0.55,64666A,0.172,343639,0.132,BEBFC1,0.109,644233,0.036,warm charcoal,12.0,medium,background dominates frame; top cluster 55% — may still be a studio backdrop,0.009,0.257,yes,top_navy_margaret_howell_v-neck_jumper_shirt,1908,2746,1122785,PNG,opened_reduced
content/swipe/products/IMG_0428.png,content/swipe/products,product,cashmere V-neck jumper with pleated skirt,navy,,,,,1C1F28,0.577,35383A,0.191,6C6B6E,0.112,B7B7B8,0.111,,,warm charcoal,11.4,low,little left after background removal; top cluster 58% — may still be a studio backdrop,0.003,0.159,no,bottom_navy_cashmere_v-neck_jumper,1908,2746,956434,PNG,contact_sheet
content/swipe/products/IMG_0429.png,content/swipe/products,product,crew-neck jumper with trousers on model,dark olive,MARGARET HOWELL,,,,2E2C2B,0.541,616264,0.2,8C755F,0.131,CECDCE,0.082,A9A6A4,0.047,warm charcoal,3.9,medium,background dominates frame; top cluster 54% — may still be a studio backdrop,0.009,0.257,no,bottom_dark_olive_margaret_howell_crew-neck_jumper_trousers,1908,2746,1344530,PNG,contact_sheet
content/swipe/products/IMG_0430.png,content/swipe/products,product,"crew-neck jumper, flat shot",olive charcoal,,,,,4E4A44,0.496,363534,0.244,B7B6B6,0.134,6D6C6D,0.101,,,warm charcoal,6.7,low,little left after background removal; top cluster 50% — may still be a studio backdrop,0.0,0.191,no,shoes_olive_charcoal_crew-neck_jumper,1908,2746,1422423,PNG,contact_sheet
content/swipe/products/IMG_0431.png,content/swipe/products,product,crew-neck jumper with skirt on model,rust red,MARGARET HOWELL,,,,242527,0.391,3E1A13,0.272,636569,0.176,C4C3C4,0.108,694132,0.053,warm charcoal,7.2,medium,background dominates frame,0.018,0.251,no,bottom_rust_red_margaret_howell_crew-neck_jumper_skirt,1908,2746,1120839,PNG,contact_sheet
content/swipe/products/IMG_0432.png,content/swipe/products,product,"crew-neck jumper, flat shot",rust red,,,,,5A2D21,0.303,47484A,0.267,441F17,0.15,B2B1B2,0.142,1C1B1E,0.138,chocolate,10.4,low,little left after background removal,0.009,0.162,no,shoes_rust_red_crew-neck_jumper,1908,2746,1054708,PNG,contact_sheet
content/swipe/products/IMG_0433.png,content/swipe/products,product,"felted lambswool hooded balaclava, ribbed neck",chocolate brown,MARGARET HOWELL (margarethowell.co.uk),,"flat shot, not styled",sold in three colourways at one price; description says fabricated in wool,262526,0.307,3F2F2E,0.282,53403E,0.172,65666A,0.157,B7B5B7,0.082,warm charcoal,6.5,medium,background dominates frame,0.004,0.29,yes,accessory_brown_margaret_howell_felted_wool_hood,1908,2746,1828089,PNG,opened_reduced
content/swipe/products/IMG_0434.png,content/swipe/products,product,"felted wool hood, flat shot",dark brown,,,,,493735,0.455,2D2221,0.232,35383A,0.12,B4B2B2,0.098,6F686A,0.095,chocolate,7.2,low,little left after background removal; top cluster 45% — may still be a studio backdrop,0.005,0.245,no,shoes_dark_brown_felted_wool_hood,1908,2746,1952546,PNG,contact_sheet
content/swipe/products/IMG_0435.png,content/swipe/products,product,"felted wool hood, flat shot",grey,,,,,3F3F3F,0.409,5F5E5E,0.38,BEBDBE,0.076,919090,0.068,211F1F,0.067,warm charcoal,4.2,low,little left after background removal,0.001,0.247,no,shoes_grey_felted_wool_hood,1908,2746,1776193,PNG,contact_sheet
content/swipe/products/IMG_0436.png,content/swipe/products,product,"felted lambswool hooded balaclava, ribbed neck",rust sienna red,margarethowell.co.uk,,"flat shot, not styled",same hood as the chocolate version; colour named Sienna,7A2F2B,0.449,4F1C1A,0.214,302F30,0.159,B7B5B6,0.101,6C6A6D,0.077,rust,14.9,low,little left after background removal,0.008,0.237,yes,shoes_red_felted_wool_hood,1908,2746,2015476,PNG,opened_reduced
content/swipe/products/IMG_0437.png,content/swipe/products,product,crew-neck jumper with trousers on model,camel,,,,,724F35,0.437,353738,0.171,171518,0.16,B9B7B6,0.134,6E6C6E,0.099,chocolate,11.0,low,little left after background removal,0.043,0.174,no,bottom_camel_crew-neck_jumper_trousers,1908,2746,1320805,PNG,contact_sheet
content/swipe/products/IMG_0438.png,content/swipe/products,product,"listing, leather bomber, trousers, belt",brown and camel,A.P.C.,,,,A78E70,0.31,201B1B,0.292,423836,0.247,646569,0.1,C5BEB9,0.052,warm taupe,3.2,medium,background dominates frame,0.035,0.346,no,layer_brown_and_camel_a_p_c_leather_bomber_trousers,1908,2746,1739555,PNG,contact_sheet
content/swipe/products/IMG_0439.png,content/swipe/products,product,"crew-neck sweater, flat shot",khaki camel,A.P.C.,,,,917D5F,0.628,1E1E20,0.188,353739,0.083,606468,0.075,,,warm mid grey,8.0,medium,background dominates frame; top cluster 63% — may still be a studio backdrop,0.0,0.372,no,shoes_khaki_camel_a_p_c_crew-neck_sweater,1908,2746,2336091,PNG,contact_sheet
content/swipe/products/IMG_0440.png,content/swipe/products,product,wide trousers with shoulder bag on model,khaki,A.P.C.,,,,252526,0.383,B29879,0.214,8E7459,0.162,5F4130,0.137,BFBDBA,0.104,warm charcoal,6.7,low,little left after background removal,0.022,0.246,no,bottom_khaki_a_p_c_wide_trousers_shoulder,1908,2746,1333919,PNG,contact_sheet
content/swipe/products/IMG_0441.png,content/swipe/products,product,"crew-neck sweater, flat shot",cream,A.P.C.,,,,E1DAC8,0.307,1E1F21,0.3,35383A,0.24,63676C,0.15,,,cream,2.9,low,little left after background removal,0.0,0.194,no,shoes_cream_a_p_c_crew-neck_sweater,1908,2746,1839626,PNG,contact_sheet
content/swipe/products/IMG_0442.png,content/swipe/products,product,"listing, trousers and flap shoulder bag",camel and burgundy,A.P.C.,,,,29282A,0.37,AC9579,0.253,D7D4D3,0.177,636366,0.121,421F21,0.08,warm charcoal,6.1,medium,background dominates frame,0.017,0.333,no,bottom_camel_and_burgundy_a_p_c_trousers_flap_shoulder,1908,2746,1434195,PNG,contact_sheet
